cellline,drug,ic50,tissue
ACH-000936,9903786,2.843085,OV
ACH-000219,16722836,4.219143,SKCM
ACH-000355,56965967,4.161515,SCLC
ACH-000425,11707110,-5.749716,SKCM
ACH-000615,24785538,3.307854,SKCM
ACH-000099,5384616,0.632559,NB
ACH-000963,5289247,3.163214,COAD/READ
ACH-000636,5311510,2.215611,ALL
ACH-000475,2726824,3.437086,LIHC
ACH-000486,10074640,5.468148,BLCA
ACH-000090,53394750,4.526572,PRAD
ACH-000706,3062316,5.158828,LUAD
ACH-000998,10027278,5.837048,COAD/READ
ACH-000074,6852167,-3.891558,LCML
ACH-000408,9826308,-3.739598,ESCA
ACH-000662,78243717,4.621899,NA
ACH-000874,20635522,1.716296,ALL
ACH-000481,11404337,-1.626567,LUSC
ACH-000838,5280757,-3.065882,MM
ACH-000114,6445533,-3.118328,PAAD
ACH-000969,53394750,4.036204,COAD/READ
ACH-000249,9826308,-0.083193,COAD/READ
ACH-000965,704473,4.30998,UCEC
ACH-000956,24889392,3.095062,PRAD
ACH-000944,11373846,3.826551,DLBC
ACH-000643,9952773,5.944411,BRCA
ACH-000476,11640390,2.308097,LIHC
ACH-000815,2726824,3.692157,NA
ACH-000864,16760646,0.706708,UCEC
ACH-000204,76044,1.078296,MM
ACH-000821,16663089,3.507166,MM
ACH-001190,6852167,3.239017,SKCM
ACH-000838,2726824,3.172309,MM
ACH-000060,11373846,6.281064,PAAD
ACH-000879,11634725,4.013657,UCEC
ACH-000649,9813758,1.523954,KIRC
ACH-000212,6852167,1.877126,BRCA
ACH-000787,42640,5.066282,LUAD
ACH-000950,85668777,5.094616,COAD/READ
ACH-000766,10390396,-1.614998,LUAD
ACH-000381,6918848,-0.373246,COAD/READ
ACH-000910,16720766,0.87077,BRCA
ACH-000745,56962337,1.048029,MM
ACH-000223,704473,5.209405,BRCA
ACH-000221,448013,-8.925974,LIHC
ACH-000414,71271629,1.555668,LUAD
ACH-000651,46943432,3.744574,COAD/READ
ACH-000363,16038120,-0.667608,MM
ACH-000245,10200390,0.420724,DLBC
ACH-000937,56965967,1.52923,ALL
ACH-000238,24951314,1.059453,HNSC
ACH-000867,60750,-1.263679,UNABLE TO CLASSIFY
ACH-000706,25102847,5.806848,LUAD
ACH-000305,9858940,4.845886,ESCA
ACH-000443,25195352,3.865031,OV
ACH-000740,54685215,0.214541,HNSC
ACH-000669,25126798,4.711437,LUSC
ACH-000235,78243717,5.389501,PAAD
ACH-000969,9911830,-0.549939,COAD/READ
ACH-000200,46191454,1.22449,LGG
ACH-000330,42642645,0.692593,BRCA
ACH-000745,42642645,-0.381749,MM
ACH-000038,5384616,-3.093643,CLL
ACH-000335,10109823,3.203053,MESO
ACH-000055,10074640,4.952134,MB
ACH-000311,9813758,3.793393,LUAD
ACH-000562,56965967,3.901763,LUAD
ACH-000970,9910224,5.883148,COAD/READ
ACH-000169,46931012,4.187231,SARC
ACH-000948,5289247,2.966629,STAD
ACH-000817,11707110,-0.421117,MM
ACH-000401,5311510,2.163341,SKCM
ACH-000937,11364421,-3.824785,ALL
ACH-000198,8249,1.285228,LAML
ACH-000680,11338033,4.903598,COAD/READ
ACH-000334,46224516,0.489695,DLBC
ACH-000744,3385,6.121686,LUAD
ACH-000374,46224516,2.259837,BRCA
ACH-000787,20635522,1.727155,LUAD
ACH-000545,54685215,-0.142244,BLCA
ACH-000136,53394750,3.75849,NB
ACH-000997,6914657,-1.28109,COAD/READ
ACH-000935,46224516,2.087358,COAD/READ
ACH-000949,11640390,2.498657,STAD
ACH-000401,36314,0.019169,SKCM
ACH-000619,24785538,1.167047,HNSC
ACH-000786,5311510,2.180723,DLBC
ACH-000881,56965967,2.293094,SKCM
ACH-000174,16725726,4.711125,THCA
ACH-000717,24889392,2.671682,ESCA
ACH-000599,11640390,0.306858,PAAD
ACH-000308,10109823,1.68743,OV
ACH-000346,11634725,0.902221,CLL
ACH-000615,10074640,3.207306,SKCM
ACH-000784,9810884,5.235493,ESCA
ACH-000944,11404337,-2.131197,DLBC
ACH-000277,5113032,6.772162,BRCA
ACH-000493,49806720,3.754317,LIHC
ACH-000778,6918638,0.958552,HNSC
ACH-000121,44551660,1.898993,LUAD
ACH-000890,10027278,1.478243,SCLC
ACH-000817,10027278,1.670305,MM
ACH-000580,11338033,3.628922,SKCM
ACH-000375,25124816,1.287367,SARC
ACH-000943,6445562,0.749873,COAD/READ
ACH-000159,8249,7.021435,KIRC
ACH-000546,11617559,6.226761,HNSC
ACH-000456,54676905,3.457362,THCA
ACH-000637,25257557,5.791362,ESCA
ACH-000346,25126798,4.323196,CLL
ACH-000232,637858,0.78212,GBM
ACH-000400,25022668,3.653375,COAD/READ
ACH-000751,25195352,3.292123,LAML
ACH-000489,3385,7.317064,COAD/READ
ACH-000636,6445562,-2.010384,ALL
ACH-000359,11754511,5.362054,SARC
ACH-000139,53340664,2.406789,PAAD
ACH-000113,3218,1.728857,LAML
ACH-000183,10451420,3.329454,MM
ACH-000250,54685215,0.290153,KIRC
ACH-000775,16747388,2.92402,NA
ACH-000476,24894414,3.342178,LIHC
ACH-000664,9810884,4.196131,NA
ACH-000078,16038120,2.593717,NB
ACH-000997,44462760,3.470918,COAD/READ
ACH-000974,6753378,0.395317,UCEC
ACH-000677,24785538,0.375897,LUAD
ACH-000148,71271629,2.582971,BRCA
ACH-000451,10200390,2.258259,LUAD
ACH-000168,10113978,3.822488,LAML
ACH-000408,9863776,0.034121,ESCA
ACH-000812,704473,5.054238,SKCM
ACH-000408,6918638,5.663392,ESCA
ACH-000917,6445562,-1.110282,ESCA
ACH-000656,11404337,-3.581426,DLBC
ACH-000684,5280757,-2.2551,KIRC
ACH-000211,9813758,2.696503,MB
ACH-000824,6918638,0.306528,ESCA
ACH-000560,56965967,3.507077,STAD
ACH-000488,11364421,-3.469523,ESCA
ACH-000945,25022668,1.830778,LUAD
ACH-000585,637858,1.514378,LUSC
ACH-000815,9813758,2.496185,NA
ACH-000464,4263900,4.925764,GBM
ACH-000805,11282283,4.577327,SKCM
ACH-000811,11493598,4.930392,OV
ACH-000476,6918638,-1.147796,LIHC
ACH-000096,11625818,3.921701,SARC
ACH-000669,44224160,3.282301,LUSC
ACH-000835,6914657,-3.915029,SARC
ACH-000161,9813758,2.755755,LUAD
ACH-000654,11626560,2.970038,DLBC
ACH-000945,44632017,0.754624,LUAD
ACH-000392,10109823,3.456857,LUAD
ACH-000087,11617559,5.358395,SARC
ACH-000421,11338033,1.832192,COAD/READ
ACH-000505,5280757,-3.356211,SARC
ACH-000800,9549184,1.860018,SCLC
ACH-000878,10109823,2.607908,LUSC
ACH-000699,16722836,3.207781,BRCA
ACH-000277,9810884,6.560539,BRCA
ACH-000547,2726824,4.01491,BLCA
ACH-000825,49806720,4.685421,NA
ACH-000718,11754511,5.914046,LUAD
ACH-000332,25167777,-1.421829,PAAD
ACH-000389,78243717,4.683139,LGG
ACH-000985,448013,-4.255557,COAD/READ
ACH-000878,10390396,1.58648,LUSC
ACH-000814,16725726,5.312413,SKCM
ACH-000955,11617559,5.614404,COAD/READ
ACH-000001,448013,-5.406943,OV
ACH-000273,3463933,2.412587,LGG
ACH-000669,25124816,2.730662,LUSC
ACH-000408,11625818,5.337763,ESCA
ACH-000439,11617559,6.020672,LAML
ACH-000226,9910224,4.555293,NA
ACH-000744,6918848,-0.697813,LUAD
ACH-000979,2733526,2.800868,PRAD
ACH-000024,11485656,1.816438,MM
ACH-000247,11754511,5.104658,STAD
ACH-000888,24894414,5.341856,LUAD
ACH-000803,6445562,3.564708,SCLC
ACH-000196,521106,4.217695,BRCA
ACH-000061,16725726,0.696383,ALL
ACH-000720,10113978,4.163605,BLCA
ACH-000647,11373846,6.267169,ESCA
ACH-000702,16663089,2.923235,NA
ACH-000411,11338033,0.720708,KIRC
ACH-000417,9910224,5.654294,PAAD
ACH-000040,25257557,5.480968,GBM
ACH-000403,11844351,1.234467,COAD/READ
ACH-000273,11626560,-1.635961,LGG
ACH-000997,49806720,4.006134,COAD/READ
ACH-000973,57339144,2.068077,BLCA
ACH-000878,11178236,-4.352469,LUSC
ACH-000857,10451420,4.137874,BRCA
ACH-000664,11754511,2.222016,NA
ACH-000463,2375,4.155028,NA
ACH-000430,9911830,0.132666,UNABLE TO CLASSIFY
ACH-000236,44632017,3.416505,COAD/READ
ACH-000566,54676905,3.998537,BLCA
ACH-000521,9956222,0.883773,LUAD
ACH-000308,5280757,-1.286319,OV
ACH-000816,9967941,4.489755,SCLC
ACH-000527,16722836,2.127191,OV
ACH-000074,24785538,0.698551,LCML
ACH-000040,11493598,4.976824,GBM
ACH-000364,60750,2.915326,SARC
ACH-000452,704473,4.19815,ESCA
ACH-000863,5280757,-3.488726,GBM
ACH-000876,24894414,4.754753,BRCA
ACH-000740,8249,8.043931,HNSC
ACH-000644,53340664,3.120082,SKCM
ACH-000155,5289247,4.878085,PAAD
ACH-001075,25167777,-1.360465,NA
ACH-000955,24772860,-1.743617,COAD/READ
ACH-000788,2375,2.294447,SKCM
ACH-000802,10027278,0.715628,BLCA
ACH-000749,25102847,1.379769,SCLC
ACH-000818,11493598,7.150873,BRCA
ACH-000396,44632017,1.520127,BLCA
ACH-000432,10172943,-1.342615,LCML
ACH-000586,49836027,-1.273892,SCLC
ACH-000563,25126798,4.513216,LUSC
ACH-000558,71271629,2.850203,GBM
ACH-000223,16720766,0.196469,BRCA
ACH-000792,25195352,4.882324,KIRC
ACH-000506,6914657,-5.374886,SCLC
ACH-000332,42640,6.392271,PAAD
ACH-000677,11282283,4.014599,LUAD
ACH-000308,11493598,5.614032,OV
ACH-000371,10027278,2.173301,DLBC
ACH-000825,71271629,1.93548,NA
ACH-000236,446378,-3.990503,COAD/READ
ACH-000260,6852167,4.033422,NB
ACH-000953,25126798,3.562476,ALL
ACH-000118,9911830,0.57996,PAAD
ACH-000768,42642645,4.123168,BRCA
ACH-000662,46885626,0.983259,NA
ACH-000425,9884685,2.228591,SKCM
ACH-000535,44551660,2.560153,PAAD
ACH-000198,11364421,-2.770787,LAML
ACH-000315,9967941,4.883788,DLBC
ACH-000568,6445533,0.495539,BRCA
ACH-000491,9952773,3.799505,COAD/READ
ACH-000843,60750,-1.85942,LUSC
ACH-000178,2375,3.591022,PAAD
ACH-000153,9884685,3.336291,MESO
ACH-000521,57339144,2.737265,LUAD
ACH-000945,9868037,4.426308,LUAD
ACH-000665,4263900,1.584843,LUSC
ACH-000264,16663089,4.161671,LUAD
ACH-000817,57339144,1.745743,MM
ACH-000257,56965967,3.188625,SCLC
ACH-000290,53394750,5.820232,SCLC
ACH-000740,176167,3.406602,HNSC
ACH-000191,11338033,3.166621,THCA
ACH-000417,4263900,5.631543,PAAD
ACH-000491,9868037,3.492917,COAD/READ
ACH-000171,447912,4.037484,KIRC
ACH-000638,85668777,7.360904,LUAD
ACH-000384,447912,5.117326,BLCA
ACH-000654,46931012,3.751389,DLBC
ACH-000562,25102847,2.085253,LUAD
ACH-000547,16720766,1.813809,BLCA
ACH-000196,16760646,-0.70596,BRCA
ACH-000486,25102847,4.247863,BLCA
ACH-000789,9858940,4.703775,NA
ACH-000684,447912,4.398575,KIRC
ACH-000058,6753378,1.649466,THCA
ACH-000264,24894414,4.616348,LUAD
ACH-000641,9911830,-0.123337,LAML
ACH-000464,446378,-2.699049,GBM
ACH-000652,10109823,2.678216,PAAD
ACH-000065,31703,-2.446598,LAML
ACH-000937,85668777,6.368376,ALL
ACH-000038,11626560,3.904985,CLL
ACH-000880,6450816,-1.947057,STAD
ACH-000563,46224516,6.457699,LUSC
ACH-000168,66577006,4.807901,LAML
ACH-000790,9868037,3.345617,SCLC
ACH-000437,2733526,2.565072,GBM
ACH-000504,11485656,2.94224,GBM
ACH-000020,9863776,1.658465,ALL
ACH-000366,176167,5.53982,NB
ACH-000805,11404337,-2.946748,SKCM
ACH-000617,9884685,0.795911,OV
ACH-000411,42640,2.93816,KIRC
ACH-000356,24756910,2.086913,STAD
ACH-000303,44551660,5.096363,STAD
ACH-000784,6918848,0.090922,ESCA
ACH-000226,9810884,2.276729,NA
ACH-000838,44632017,-0.091832,MM
ACH-000437,5113032,5.486937,GBM
ACH-000528,6753378,3.533968,LUAD
ACH-000473,25195352,2.898362,BLCA
ACH-000978,6852167,3.099728,UCEC
ACH-000879,16747388,4.797719,UCEC
ACH-000323,6852167,2.566482,GBM
ACH-001190,5460769,1.577209,SKCM
ACH-000355,10074640,4.88577,SCLC
ACH-000242,3385,3.082862,BLCA
ACH-000766,637858,4.626359,LUAD
ACH-000776,16038120,0.789673,MB
ACH-000563,24951314,1.449557,LUSC
ACH-001306,31703,-2.490643,THCA
ACH-000235,42642645,1.120685,PAAD
ACH-000770,3796,3.814738,LAML
ACH-000475,57339144,3.190714,LIHC
ACH-000425,46943432,5.534233,SKCM
ACH-000023,54685215,-0.109225,PAAD
ACH-000486,2375,1.431043,BLCA
ACH-000004,78243717,4.241485,LAML
ACH-000633,82146,3.529496,STAD
ACH-000788,4263900,2.221778,SKCM
ACH-000190,16038120,1.205859,NA
ACH-000806,11178236,3.416852,NA
ACH-000749,24894414,4.345051,SCLC
ACH-000670,25167777,-1.238868,SCLC
ACH-000070,5394,4.658498,ALL
ACH-000935,9826308,-0.949239,COAD/READ
ACH-000697,704473,2.624976,DLBC
ACH-000188,16747388,2.779613,HNSC
ACH-000196,10109823,2.19946,BRCA
ACH-000247,4263900,4.615347,STAD
ACH-000669,6445562,2.614153,LUSC
ACH-000691,66577006,4.441816,BRCA
ACH-000567,6852167,-1.160879,DLBC
ACH-000137,11640390,2.024049,GBM
ACH-000059,24825971,1.448554,ALL
ACH-000879,57339144,2.654826,UCEC
ACH-000371,637858,4.628585,DLBC
ACH-000976,46224516,2.593805,NA
ACH-000301,11625818,3.934169,LCML
ACH-000835,66577006,5.093237,SARC
ACH-000530,54685215,-0.331417,SCLC
ACH-000196,5494449,-0.776831,BRCA
ACH-000072,24951314,0.36988,LCML
ACH-000440,44224160,-2.281267,DLBC
ACH-000200,6914657,-1.997984,LGG
ACH-000957,637858,2.74795,COAD/READ
ACH-000178,159324,3.414149,PAAD
ACH-000752,10027278,2.89437,SCLC
ACH-000420,9874913,2.846829,LIHC
ACH-000965,11647372,3.362737,UCEC
ACH-000040,5460769,1.697851,GBM
ACH-000843,53340664,2.669188,LUSC
ACH-000528,25257557,3.630988,LUAD
ACH-000702,2733526,2.949511,NA
ACH-000691,10451420,5.792163,BRCA
ACH-000670,11634725,3.615332,SCLC
ACH-000855,10109823,2.907231,ESCA
ACH-000693,10451420,3.886337,ESCA
ACH-000640,16720766,1.712662,SKCM
ACH-000521,10027278,1.647459,LUAD
ACH-000243,46885626,2.499691,PAAD
ACH-000472,446378,-5.47892,HNSC
ACH-000806,53394750,4.512704,NA
ACH-000137,3062316,-1.884784,GBM
ACH-000789,11373846,4.123556,NA
ACH-000867,11634725,4.391613,UNABLE TO CLASSIFY
ACH-000356,16747388,4.389317,STAD
ACH-000186,5113032,6.32208,UNABLE TO CLASSIFY
ACH-000148,25102847,4.562375,BRCA
ACH-000291,11625818,6.213285,OV
ACH-000617,9863776,0.893015,OV
ACH-000677,25124816,3.424859,LUAD
ACH-000349,44819241,5.047425,BRCA
ACH-000042,31703,-0.952122,PAAD
ACH-000568,25102847,2.750516,BRCA
ACH-000207,2375,4.615483,HNSC
ACH-000330,31703,-0.757901,BRCA
ACH-000595,66577006,4.927767,GBM
ACH-000009,53340664,4.153261,COAD/READ
ACH-000927,49836027,-1.142873,BRCA
ACH-000754,10109823,2.156565,NA
ACH-000386,44143370,2.765603,LAML
ACH-000270,6445533,-4.343392,PAAD
ACH-000781,2726824,3.483304,LUAD
ACH-000374,11617559,6.497412,BRCA
ACH-000691,82146,3.770608,BRCA
ACH-000978,2375,3.046784,UCEC
ACH-000244,44224160,2.953928,GBM
ACH-000171,5289247,3.740162,KIRC
ACH-000124,49836027,-2.471248,DLBC
ACH-000186,44819241,4.946409,UNABLE TO CLASSIFY
ACH-000062,9863776,0.640724,LUAD
ACH-000380,176167,2.460297,MM
ACH-000055,54676905,5.253176,MB
ACH-000522,8249,6.558861,BLCA
ACH-000973,11485656,1.690847,BLCA
ACH-000738,71271629,4.838118,GBM
ACH-000350,9884685,4.480857,COAD/READ
ACH-000639,10027278,2.0095,SCLC
ACH-000378,3796,3.758463,LUAD
ACH-000649,56965967,2.760537,KIRC
ACH-000703,5280757,-1.787202,SCLC
ACH-000750,25167777,-3.022025,SKCM
ACH-000528,44224160,-0.913073,LUAD
ACH-000320,78243717,4.270695,PAAD
ACH-000806,11647372,1.167915,NA
ACH-000078,11364421,-0.906979,NB
ACH-000004,46885626,0.798504,LAML
ACH-000056,11364421,-2.461592,DLBC
ACH-000656,31703,-3.675291,DLBC
ACH-000586,11617559,5.035714,SCLC
ACH-000008,2726824,2.997964,SKCM
ACH-000235,25124816,2.875625,PAAD
ACH-000151,5384616,-2.170999,DLBC
ACH-000869,6852167,3.994074,LUAD
ACH-000655,6852167,2.748838,GBM
ACH-000132,9952773,3.94698,OV
ACH-000074,9810884,-0.909491,LCML
ACH-000171,10390396,2.970864,KIRC
ACH-000679,9903786,6.098138,ESCA
ACH-000804,6445533,-2.894787,NB
ACH-000749,3796,3.552582,SCLC
ACH-000009,44819241,2.909423,COAD/READ
ACH-000579,448013,-3.972996,SKCM
ACH-000754,10113978,4.062119,NA
ACH-000168,9903786,0.128235,LAML
ACH-001307,46885626,1.167218,THCA
ACH-000396,11625818,4.64062,BLCA
ACH-000096,5113032,4.859444,SARC
ACH-000452,2375,4.743626,ESCA
ACH-000864,10074640,3.376126,UCEC
ACH-000783,10200390,4.2515,BRCA
ACH-000149,60750,-4.607067,NB
ACH-000009,6918638,-0.078345,COAD/READ
ACH-000257,16747388,3.612623,SCLC
ACH-000572,9868037,3.34103,SKCM
ACH-000410,4263900,5.71592,SARC
ACH-000530,44551660,3.46574,SCLC
ACH-000920,44462760,0.659669,LCML
ACH-000361,66577006,4.618149,LIHC
ACH-000052,10027278,1.203329,SARC
ACH-000118,11404337,-0.462872,PAAD
ACH-000572,25257557,2.876545,SKCM
ACH-000098,24951314,-0.479486,LGG
ACH-000139,25167777,-4.458676,PAAD
ACH-000579,24772860,0.837205,SKCM
ACH-000362,71271629,1.309887,LAML
ACH-000411,82146,3.833658,KIRC
ACH-000366,44143370,2.92156,NB
ACH-000625,25195352,2.989616,LIHC
ACH-000580,46885626,4.20911,SKCM
ACH-000098,25126798,3.604835,LGG
ACH-000452,5460769,1.629851,ESCA
ACH-000740,53340664,4.014397,HNSC
ACH-000058,6852167,2.837091,THCA
ACH-000953,9967941,4.637932,ALL
ACH-000305,2726824,1.653885,ESCA
ACH-000767,6852167,1.998488,SCLC
ACH-000375,16720766,-1.245931,SARC
ACH-000655,5113032,5.77708,GBM
ACH-000269,42640,3.113904,GBM
ACH-000939,9813758,2.848508,SARC
ACH-000816,46943432,5.19755,SCLC
ACH-000621,9874913,5.140583,BRCA
ACH-000411,9956222,1.547854,KIRC
ACH-000935,176167,3.817486,COAD/READ
ACH-000939,2733526,3.546814,SARC
ACH-000654,10113978,4.445693,DLBC
ACH-000023,44819241,2.672499,PAAD
ACH-000860,3385,2.419885,LUAD
ACH-000937,5329102,1.033369,ALL
ACH-000335,10302451,1.07767,MESO
ACH-000792,16722836,3.835544,KIRC
ACH-000929,25195352,1.78045,UNABLE TO CLASSIFY
ACH-000372,9884685,0.343305,ALL
ACH-000888,25257557,6.065196,LUAD
ACH-000102,9868037,4.622931,GBM
ACH-000688,11338033,-0.054353,OV
ACH-000070,24825971,1.039973,ALL
ACH-001307,24772860,-1.846356,THCA
ACH-000437,9911830,-0.395004,GBM
ACH-000693,16725726,3.644252,ESCA
ACH-000186,25126798,4.984733,UNABLE TO CLASSIFY
ACH-000408,10302451,2.639786,ESCA
ACH-000254,11647372,0.385699,HNSC
ACH-000159,36314,-2.337154,KIRC
ACH-000627,56965967,3.002528,NA
ACH-000309,3796,3.875552,LUAD
ACH-000212,82146,3.930093,BRCA
ACH-000074,16747388,-2.88396,LCML
ACH-000579,25102847,2.636627,SKCM
ACH-000838,71271629,1.127037,MM
ACH-000183,46191454,-0.69161,MM
ACH-000973,42642645,0.164239,BLCA
ACH-000860,9910224,5.556094,LUAD
ACH-000277,5460769,7.139535,BRCA
ACH-000932,6445562,0.728283,STAD
ACH-000945,5289247,1.971137,LUAD
ACH-000770,24772860,1.042909,LAML
ACH-000775,3218,2.05922,NA
ACH-000386,16722836,-0.809468,LAML
ACH-000733,5311510,3.351315,LUAD
ACH-000885,25257557,5.113333,OV
ACH-000856,5394,5.335696,BRCA
ACH-000867,44551660,2.863731,UNABLE TO CLASSIFY
ACH-000443,9810884,6.520505,OV
ACH-000948,9874913,4.954666,STAD
ACH-000305,11404337,3.010916,ESCA
ACH-000890,44143370,2.247942,SCLC
ACH-000136,3218,3.686963,NB
ACH-000547,5289247,4.146167,BLCA
ACH-000730,11178236,1.107202,SKCM
ACH-000155,9884685,3.787379,PAAD
ACH-000467,10390396,0.686243,COAD/READ
ACH-000536,42640,4.968935,BRCA
ACH-000794,2733526,3.203991,HNSC
ACH-000304,6445562,1.046342,SKCM
ACH-000825,60750,-0.338274,NA
ACH-000336,9813758,1.84502,LAML
ACH-000565,78243717,5.476269,COAD/READ
ACH-000654,44632017,0.844321,DLBC
ACH-000955,85668777,5.777512,COAD/READ
ACH-000647,11626560,3.576512,ESCA
ACH-000508,2726824,4.231507,SCLC
ACH-000800,25022668,3.135531,SCLC
ACH-000258,16663089,2.585641,BRCA
ACH-000989,9868037,4.396996,COAD/READ
ACH-000235,31703,-0.184616,PAAD
ACH-000138,85668777,6.561564,PAAD
ACH-000401,44819241,-4.546422,SKCM
ACH-000609,49806720,4.073611,GBM
ACH-000464,11754511,1.980244,GBM
ACH-000787,24894414,3.787023,LUAD
ACH-000074,6450816,-4.704874,LCML
ACH-000860,11178236,-5.973944,LUAD
ACH-000586,46885626,0.537049,SCLC
ACH-000730,11338033,2.796275,SKCM
ACH-000595,44551660,3.022527,GBM
ACH-000589,71271629,3.069292,LUAD
ACH-001106,31703,-3.352044,ALL
ACH-000843,2375,5.134242,LUSC
ACH-000943,11485656,2.311073,COAD/READ
ACH-000890,9863776,0.110475,SCLC
ACH-000647,3796,5.286649,ESCA
ACH-000298,44462760,4.800807,SCLC
ACH-000866,6445562,1.322259,SCLC
ACH-000144,5460769,2.204495,STAD
ACH-000647,6445533,-4.2071,ESCA
ACH-000023,25022668,0.477236,PAAD
ACH-000062,16722836,3.498153,LUAD
ACH-000816,159324,3.548622,SCLC
ACH-000698,3463933,-0.635246,SCLC
ACH-000106,49821040,4.688583,CLL
ACH-000381,9903786,2.952105,COAD/READ
ACH-000204,10027278,1.854741,MM
ACH-000439,16722836,1.79276,LAML
ACH-000880,46224516,2.563786,STAD
ACH-000389,16720766,-1.623123,LGG
ACH-000372,44224160,0.180382,ALL
ACH-000915,10390396,2.742767,SKCM
ACH-000433,25167777,-3.136554,KIRC
ACH-000059,11640390,3.218571,ALL
ACH-000105,9813758,0.130671,ALL
ACH-000525,11844351,3.486559,SCLC
ACH-000643,44819241,4.947253,BRCA
ACH-000983,44224160,-1.717611,LCML
ACH-000223,25102847,3.985367,BRCA
ACH-000201,6753378,2.89629,SARC
ACH-000204,10390396,2.030135,MM
ACH-000111,11404337,0.760335,BRCA
ACH-000643,704473,4.40366,BRCA
ACH-000249,11178236,1.225346,COAD/READ
ACH-000656,42642645,-1.115311,DLBC
ACH-000719,2733526,4.298185,OV
ACH-000372,9868037,2.845565,ALL
ACH-000493,24772860,-2.245261,LIHC
ACH-000427,10390396,3.202631,STAD
ACH-000178,11485656,3.359889,PAAD
ACH-000759,44632017,4.567303,BRCA
ACH-000770,42640,4.402033,LAML
ACH-000595,16722836,3.552616,GBM
ACH-000945,11617559,5.965941,LUAD
ACH-000976,11493598,4.448804,NA
ACH-000871,11364421,-3.348786,SCLC
ACH-000423,9903786,2.354961,SKCM
ACH-000722,25195352,4.239822,COAD/READ
ACH-000641,6914657,-6.53377,LAML
ACH-000236,16722836,2.46143,COAD/READ
ACH-000242,10027278,2.712152,BLCA
ACH-000171,4263900,2.513301,KIRC
ACH-000551,36314,-4.09282,LCML
ACH-000366,11707110,-0.732014,NB
ACH-000334,3796,3.971301,DLBC
ACH-000656,44143370,2.270395,DLBC
ACH-000643,25195352,4.198723,BRCA
ACH-000698,71271629,2.032199,SCLC
ACH-000875,24951314,1.293554,LUAD
ACH-000616,10451420,4.250988,STAD
ACH-000649,9874913,3.565149,KIRC
ACH-000665,11178236,-5.212913,LUSC
ACH-000997,3796,4.554252,COAD/READ
ACH-000326,6918848,-1.607546,LCML
ACH-000722,9884685,6.102163,COAD/READ
ACH-000295,10461815,3.430337,LCML
ACH-000986,24785538,2.301894,COAD/READ
ACH-000812,11338033,2.06401,SKCM
ACH-000346,10074640,3.780534,CLL
ACH-000784,5280757,-2.418198,ESCA
ACH-000939,2375,2.329066,SARC
ACH-000353,11404337,-1.637562,ESCA
ACH-000913,11404337,-2.227403,UCEC
ACH-000303,16760646,0.978875,STAD
ACH-000008,57339144,2.897714,SKCM
ACH-000092,25195352,6.181117,MESO
ACH-000346,46885626,3.907373,CLL
ACH-000024,46191454,0.879161,MM
ACH-000073,10172943,-0.963576,DLBC
ACH-000703,24772860,1.05571,SCLC
ACH-000835,9903786,4.399573,SARC
ACH-000335,9956222,4.073879,MESO
ACH-000999,11754511,3.332765,COAD/READ
ACH-000174,159324,0.444661,THCA
ACH-000107,521106,4.840766,PAAD
ACH-000636,11617559,4.964413,ALL
ACH-000264,25022668,4.323773,LUAD
ACH-000637,85668777,4.79747,ESCA
ACH-000006,2375,3.602238,LAML
ACH-000452,6445562,1.635632,ESCA
ACH-000303,3385,3.581691,STAD
ACH-000717,11640390,1.659689,ESCA
ACH-000114,16747388,4.432827,PAAD
ACH-000950,11373846,5.554683,COAD/READ
ACH-000087,11634725,3.395754,SARC
ACH-000857,5394,5.671837,BRCA
ACH-000478,11617559,4.851941,LIHC
ACH-000792,56965967,3.999122,KIRC
ACH-000305,521106,5.494348,ESCA
ACH-000440,5384616,-0.45299,DLBC
ACH-000374,54676905,4.366788,BRCA
ACH-000190,66577006,3.479114,NA
ACH-000115,8249,10.360083,PRAD
ACH-000094,16722836,3.112675,PAAD
ACH-000522,25167777,-5.226842,BLCA
ACH-000414,53340664,2.201565,LUAD
ACH-000121,9911830,0.468137,LUAD
ACH-000826,60750,-4.669066,UNABLE TO CLASSIFY
ACH-000674,25257557,2.264289,STAD
ACH-000536,5460769,2.534692,BRCA
ACH-000867,11647372,2.510643,UNABLE TO CLASSIFY
ACH-000866,11178236,-5.540625,SCLC
ACH-000330,3385,4.907789,BRCA
ACH-000886,56965967,4.114173,LUAD
ACH-000684,42640,3.513133,KIRC
ACH-000574,4263900,5.696794,OV
ACH-000914,46224516,2.088089,DLBC
ACH-000478,447912,4.201406,LIHC
ACH-000353,46224516,5.780077,ESCA
ACH-000915,521106,3.54075,SKCM
ACH-000482,9863776,1.764645,LUAD
ACH-000375,10113978,-0.814522,SARC
ACH-000824,25257557,2.69598,ESCA
ACH-000614,10096043,-3.654229,SKCM
ACH-000149,44632017,0.055339,NB
ACH-000706,85668777,5.039561,LUAD
ACH-000159,10451420,5.932702,KIRC
ACH-000420,54685215,0.38553,LIHC
ACH-000662,6445562,0.206795,NA
ACH-000465,53340664,2.703166,SKCM
ACH-000810,9874913,5.05076,SKCM
ACH-000351,5113032,5.706984,STAD
ACH-000372,3218,2.085046,ALL
ACH-000121,5746,-1.003327,LUAD
ACH-000082,49806720,4.195228,SARC
ACH-000607,9911830,0.079301,SARC
ACH-000815,25124816,2.114641,NA
ACH-000617,3796,4.999819,OV
